NUTS code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
UKD33,Manchester,32337,33665,33880,35544,36288,36575,37160,38231,39540,40573,40233,38793,39016,38941,39525,38826,39154,39630,40817,42734,43224
UKG31,Birmingham,22370,22851,23460,24003,24316,24784,25408,25540,25435,25767,25118,23282,23685,23993,23619,24761,25219,25547,26014,25949,26886
UKE42,Leeds,12377,13150,13504,14039,14805,16049,17065,18367,19447,20703,20488,20514,20534,21010,21261,21701,22491,23498,23678,24525,26239
UKA,London,26939,28024,29895,30470,31480,33246,34924,37314,39334,42479,42555,40981,41794,42986,44365,46117,48557,49605,51951,53388,54686
UKM82,Glasgow,27533,28346,29430,30474,30773,31732,33023,34552,35570,35554,35486,33505,32968,33604,33912,34624,34420,34152,33985,34067,34470
UKD72,Liverpool,21660,22982,23978,25259,26571,28427,28820,29283,31078,30212,30116,30592,30003,29546,28411,28343,29034,29122,28529,28321,28846
UKE32,Sheffield,19225,19297,20156,21150,22301,23161,23733,23763,24509,25225,23786,22696,23148,23658,23639,23900,23634,23583,23637,23808,23616
UKM75,Edinburgh,34021,34736,37338,39212,41450,43643,44567,45092,46387,46374,45889,44745,43634,42982,43970,44674,44346,45780,47097,48076,49367
UKK11,Bristol,27209,27790,28833,30571,31085,31523,31853,31233,31421,32665,32712,31838,32460,32324,32427,32309,33385,32321,33202,34486,33163
UKF21,Leicester,20449,21214,22459,22280,22066,22962,23554,23669,24143,24419,24265,22647,23188,23541,22868,23339,24305,24774,25286,24856,24756
